feature,importance_mean,importance_std
V94,0.0,0.0
V95,0.0,0.0
V97,0.0,0.0
V98,0.0,0.0
V100,0.0,0.0
V57,0.0,0.0
V58,0.0,0.0
V60,0.0,0.0
V93,0.0,0.0
V43,0.0,0.0
V303,0.0,0.0
V304,0.0,0.0
V288,0.0,0.0
V273,0.0,0.0
V69,0.0,0.0
V81,0.0,0.0
V84,0.0,0.0
V85,0.0,0.0
V87,0.0,0.0
V88,0.0,0.0
V72,0.0,0.0
V73,0.0,0.0
V74,0.0,0.0
V79,0.0,0.0
V63,0.0,0.0
V64,0.0,0.0
V65,0.0,0.0
V67,0.0,0.0
V68,0.0,0.0
V205,0.0,0.0
V268,0.0,0.0
V269,0.0,0.0
V270,0.0,0.0
V271,0.0,0.0
V272,0.0,0.0
V257,0.0,0.0
V258,0.0,0.0
V260,0.0,0.0
V262,0.0,0.0
V249,0.0,0.0
V250,0.0,0.0
V251,0.0,0.0
V46,0.0,0.0
V50,0.0,0.0
V265,0.0,0.0
id_10,0.0,0.0
V91,0.0,0.0
V247,0.0,0.0
V248,0.0,0.0
device_brand,0.0,0.0
os_family,0.0,0.0
screen_area,0.0,0.0
missing_rate,0.0,0.0
id_09,0.0,0.0
V245,0.0,0.0
V21,0.0,0.0
V22,0.0,0.0
V6,0.0,0.0
V7,0.0,0.0
V329,0.0,0.0
V9,0.0,0.0
id_12,0.0,0.0
V333,0.0,0.0
V334,0.0,0.0
V335,0.0,0.0
V336,0.0,0.0
V337,0.0,0.0
V338,0.0,0.0
V339,0.0,0.0
V324,0.0,0.0
V325,0.0,0.0
V326,0.0,0.0
V327,0.0,0.0
V328,0.0,0.0
V8,0.0,0.0
V168,0.0,0.0
V169,0.0,0.0
V152,0.0,0.0
V153,0.0,0.0
V154,0.0,0.0
V155,0.0,0.0
V156,0.0,0.0
V158,0.0,0.0
V159,0.0,0.0
V144,0.0,0.0
V146,0.0,0.0
V147,0.0,0.0
V148,0.0,0.0
V149,0.0,0.0
V51,0.0,0.0
V151,0.0,0.0
V137,0.0,0.0
V138,0.0,0.0
V139,0.0,0.0
V140,0.0,0.0
V141,0.0,0.0
V142,0.0,0.0
V196,0.0,0.0
V199,0.0,0.0
V200,0.0,0.0
V202,0.0,0.0
V203,0.0,0.0
V204,0.0,0.0
V18,0.0,0.0
V150,0.0,0.0
V52,0.0,0.0
V39,0.0,0.0
V40,0.0,0.0
V41,0.0,0.0
V42,0.0,0.0
V131,0.0,0.0
V133,0.0,0.0
V119,0.0,0.0
V120,0.0,0.0
V121,0.0,0.0
V122,0.0,0.0
V123,0.0,0.0
V124,0.0,0.0
V111,0.0,0.0
V167,0.0,0.0
V113,0.0,0.0
V114,0.0,0.0
V116,0.0,0.0
V117,0.0,0.0
V118,0.0,0.0
V102,0.0,0.0
V104,0.0,0.0
V106,0.0,0.0
V108,0.0,0.0
V109,0.0,0.0
V110,0.0,0.0
V161,0.0,0.0
V162,0.0,0.0
V163,0.0,0.0
V112,0.0,0.0
id_36,-1.2354946584321644e-07,4.165846299816775e-07
V96,-1.1348978693814793e-05,1.1174340146903464e-05
V44,-1.2502370711856928e-05,2.379681560700594e-05
V130,-2.036150711822356e-05,1.095253644812552e-06
V170,-2.5636800509931668e-05,4.487510302874583e-07
V99,-2.5763537594980512e-05,0.0002679204854645038
V332,-2.6335964030899106e-05,8.726561166772943e-06
M7,-2.9596252699456056e-05,5.8195839540191836e-05
V45,-2.989927639644267e-05,1.1724434300397985e-06
V38,-3.0409144163930552e-05,1.8621471734167096e-05
V55,-3.165173085132681e-05,0.0002034696892325478
V20,-3.580550587578557e-05,0.0011997954715614963
V246,-3.8574624267447476e-05,2.2971158455655292e-05
V263,-3.8887891198213786e-05,1.4208040184648286e-05
V4,-4.008676174053575e-05,2.116053128273419e-05
V129,-4.2472745148162495e-05,4.637988438722727e-05
V300,-4.795957945465575e-05,1.2266658641465823e-06
V261,-5.058037934054423e-05,3.870456456888196e-05
V135,-5.978417828807666e-05,5.7095615120166135e-05
D9,-6.286427202898774e-05,0.0005290307501746907
V105,-6.481676655356594e-05,0.0007236974531375787
id_11,-7.44854438181249e-05,1.05422572503683e-05
V259,-7.989507991153684e-05,4.987528630952767e-05
V136,-8.055675419956405e-05,0.00012832737608416058
V71,-8.488526737245501e-05,0.00011308379833424432
V132,-8.546303251015057e-05,0.00022464767473195677
V101,-9.523997921312422e-05,0.00011087885618233964
V78,-0.00010562539350707685,0.00013035282947094853
V320,-0.00011310921875558784,0.00016565544683365117
V264,-0.00013852490200886672,0.0005319770820509233
V293,-0.00017460301081203186,5.2386267457766176e-05
V266,-0.0001884615441969384,0.00025476640206718604
V307,-0.0001980688341608842,0.001119014823631151
D4,-0.000199192677015921,0.002534265160316173
V219,-0.0002105470815865577,0.00026577405429490725
id_28,-0.00023324066016786973,0.00021561277374160256
card3,-0.00023336984862879864,0.0008504820844647283
V267,-0.00025036601282879545,0.00023084502479678713
id_33,-0.00026745113950776833,0.0003596160422997692
V319,-0.00030472777998894845,0.0003168627483383132
browser_family,-0.0003557192097179603,0.0001481593142030576
V56,-0.00036349265986597895,0.0004325981833498606
V299,-0.00037063067802811656,0.0002591546077146015
V291,-0.00042894056107363926,0.0006611053137530252
C7,-0.0004343474958992492,0.000830123755195777
V48,-0.00045077478067082993,0.0009889903254733526
V128,-0.0004588514279589469,0.0005820979958572997
V37,-0.0004597280361272234,0.0005212282041475436
ProductCD,-0.000518373809783923,0.0004190850404792287
id_15,-0.0005379921217946171,0.0006301785839335139
V278,-0.000608500018678663,3.459634822026333e-05
device_is_missing,-0.000622278498899879,0.0003146112882107189
V31,-0.0006600142152538199,1.0013284773679044e-05
email_match,-0.0006929838119980417,0.00038545172804554386
DeviceInfo,-0.0007333545756577076,0.0011282667140257929
M5,-0.0007781669152098214,0.000425958209002627
V316,-0.000813468065379556,0.0001756351230723097
V283,-0.0008366792597562789,0.00013596602346693906
D15,-0.0008680612377407101,0.0002877323692161098
DeviceType,-0.000949256522548699,0.0025836833471424223
addr1,-0.0010809071983691003,0.002677160426285705
V5,-0.0011596512379605055,6.350338102151237e-05
V25,-0.0013225495505593636,0.0005018066686736126
V308,-0.0014927996064147964,0.00047463077450958545
V13,-0.0015661844718235507,0.0011005251395601306
V134,-0.0017479130479610323,0.00020973727159607746
id_14,-0.0018562220669667469,0.0006000478970071171
V62,-0.001983830384599631,0.0009249392392094002
V302,-0.0021573617644452536,0.0005822155314870128
M3,-0.0022673580561349085,0.001032049895495985
V306,-0.0023663249868228395,0.00027517348368128646
V76,-0.002446945319878324,0.002094554102081335
V318,-0.0027023201404994626,0.0005621592302893846
id_02,-0.002798206795523265,0.001390550711406116
dist1,-0.0028670064049998536,0.0007915937902527411
V292,-0.0031177357139846964,0.0017313153698464909
D11,-0.004928191643966184,0.0004783108017233035
missing_count,-0.00527055465130466,0.003424953803073603
